MedCodeId,OriginalReadCode,CleansedReadCode,Term,SnomedCTConceptId,SnomedCTDescriptionId,EmisCodeCategoryId,ethnicity
1968531000006115,9t2C,9t2C.00,"African: African, African Scottish or African British - Scotland ethnic category 2011 census",9.78E+14,2.49E+15,22,Black
1968541000006113,9t2D,9t2D.00,African: any other African - Scotland ethnic category 2011 census,9.78E+14,2.49E+15,22,Black
1968551000006110,9t2E,9t2E.00,"Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census",9.78E+14,2.49E+15,22,Black
1968561000006112,9t2F,9t2F.00,"Caribbean or Black: Black, Black Scottish or Black British - Scotland ethnic category 2011 census",9.78E+14,2.49E+15,22,Black
1968571000006117,9t2G,9t2G.00,Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census,9.78E+14,2.49E+15,22,Black
141391000000115,9iC,9iC..00,African - ethnic category 2001 census,9.25E+13,1.41E+14,22,Black
141591000000113,9iD0,9iD0.00,Somali - ethnic category 2001 census,9.27E+13,1.42E+14,22,Black
141601000000119,9iD1,9iD1.00,Nigerian - ethnic category 2001 census,9.27E+13,1.42E+14,22,Black
154401000000118,9iB,9iB..00,Caribbean - ethnic category 2001 census,1.08E+14,1.54E+14,22,Black
157311000000119,9iD2,9iD2.00,Black British - ethnic category 2001 census,1.11E+14,1.57E+14,22,Black
158351000000119,9iD,9iD..00,Other Black background - ethnic category 2001 census,9.25E+13,1.58E+14,22,Black
158371000000111,9iD3,9iD3.00,Mixed Black - ethnic category 2001 census,9.27E+13,1.58E+14,22,Black
937731000006115,9iD4,9iD4.00,Other Black or Black unspecified - ethnic category 2001 census,9.27E+13,1.42E+14,22,Black
460153018,9SB5,9SB5.00,Black Caribbean and White,315634007,460153018,22,Mixed/Other
460154012,9SB6,9SB6.00,Black African and White,315635008,460154012,22,Mixed/Other
1968091000006110,9t04,9t04.00,Mixed multiple ethnic groups: White and Black Caribbean - England and Wales ethnic category 2011 census,9.77E+14,2.48E+15,22,Mixed/Other
1968101000006116,9t05,9t05.00,Mixed multiple ethnic groups: White and Black African - England and Wales ethnic category 2011 census,9.77E+14,2.48E+15,22,Mixed/Other
1968111000006118,9t06,9t06.00,Mixed multiple ethnic groups: White and Asian - England and Wales ethnic category 2011 census,9.77E+14,2.48E+15,22,Mixed/Other
1968121000006114,9t07,9t07.00,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - England and Wales ethnic category 2011 census,9.77E+14,2.48E+15,22,Mixed/Other
1968261000006110,9t12,9t12.00,Mixed multiple ethnic groups: White and Black Caribbean - Northern Ireland ethnic category 2011 census,9.77E+14,2.49E+15,22,Mixed/Other
1968271000006115,9t13,9t13.00,Mixed multiple ethnic groups: White and Black African - Northern Ireland ethnic category 2011 census,9.77E+14,2.49E+15,22,Mixed/Other
1968281000006117,9t14,9t14.00,Mixed multiple ethnic groups: White and Asian - Northern Ireland ethnic category 2011 census,9.77E+14,2.49E+15,22,Mixed/Other
1968291000006119,9t15,9t15.00,Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - Northern Ireland ethnic category 2011 census,9.78E+14,2.49E+15,22,Mixed/Other
1968471000006116,9t26,9t26.00,Mixed or multiple ethnic groups: any Mixed or multiple ethnic group - Scotland ethnic category 2011 census,9.78E+14,2.49E+15,22,Mixed/Other
141321000000118,9i3,9i3..00,White and Black Caribbean - ethnic category 2001 census,9.24E+13,1.41E+14,22,Mixed/Other
141331000000116,9i4,9i4..00,White and Black African - ethnic category 2001 census,9.24E+13,1.41E+14,22,Mixed/Other
141341000000113,9i5,9i5..00,White and Asian - ethnic category 2001 census,9.24E+13,1.41E+14,22,Mixed/Other
141351000000111,9i6,9i6..00,Other Mixed background - ethnic category 2001 census,9.25E+13,1.41E+14,22,Mixed/Other
141471000000113,9i60,9i60.00,Black and Asian - ethnic category 2001 census,9.26E+13,1.41E+14,22,Mixed/Other
141481000000110,9i61,9i61.00,Black and Chinese - ethnic category 2001 census,9.26E+13,1.41E+14,22,Mixed/Other
141491000000112,9i63,9i63.00,Chinese and White - ethnic category 2001 census,9.26E+13,1.41E+14,22,Mixed/Other
157291000000115,9i62,9i62.00,Black and White - ethnic category 2001 census,1.11E+14,1.57E+14,22,Mixed/Other
